,primaryTitle,startYear,genres,averageRating,numVotes
352,The Devils,1971.0,Biography Drama History,7.8,13466
353,Amen.,2002.0,Biography Crime Drama,7.2,13428
354,Mrs. Brown,1997.0,Biography Drama History,7.2,13328
355,Marley,2012.0,Biography Documentary Music,8.0,13142
356,Finding Vivian Maier,2013.0,Biography Documentary Mystery,7.7,13086
357,Diego Maradona,2019.0,Biography Documentary Sport,7.7,13050
358,Carlos,2010.0,Biography Crime Drama,7.6,12910
359,Macbeth,1971.0,Biography Drama History,7.4,12492
360,Nowhere in Africa,2001.0,Biography Drama History,7.5,12439
361,Desert Flower,2009.0,Biography Drama,7.4,12429
362,Cry Freedom,1987.0,Biography Drama History,7.4,12379
363,20 Feet from Stardom,2013.0,Biography Documentary History,7.4,12281
364,RBG,2018.0,Biography Documentary,7.6,12238
365,What Happened  Miss Simone?,2015.0,Biography Documentary Music,7.6,12154
366,Tyson,2008.0,Biography Documentary Sport,7.5,12139
367,Kilo Two Bravo,2014.0,Adventure Biography Drama,7.1,11973
368,The Look of Silence,2014.0,Biography Documentary History,8.3,11721
369,Topsy-Turvy,1999.0,Biography Comedy Drama,7.3,11675
370,Goodbye Bafana,2007.0,Biography Drama History,7.1,11593
371,The Defiant Ones,2017.0,Biography Crime Documentary,8.5,11389
372,Bird,1988.0,Biography Drama Music,7.2,11359
373,Shine a Light,2008.0,Biography Documentary Music,7.2,11063
374,Aquarius,2015.0,Biography Crime Drama,7.1,11047
375,Houdini,2014.0,Biography Drama,7.4,11016
376,Machuca,2004.0,Biography Drama History,7.7,10913
377,No One Killed Jessica,2011.0,Biography Crime Drama,7.2,10904
378,Modigliani,2004.0,Biography Drama,7.4,10887
379,Holding the Man,2015.0,Biography Drama Romance,7.4,10641
380,George Harrison: Living in the Material World,2011.0,Biography Documentary Music,8.2,10531
381,Battle for Sevastopol,2015.0,Biography Drama Romance,7.1,10440
382,The Loudest Voice,2019.0,Biography Drama,7.9,10431
383,Hannah Arendt,2012.0,Biography Drama,7.1,10402
384,My Best Fiend,1999.0,Biography Documentary,7.9,10343
385,The Lady,2011.0,Biography Drama History,7.1,10134
386,Oasis: Supersonic,2016.0,Biography Documentary Music,7.9,10132
387,A Very English Scandal,2018.0,Biography Comedy Crime,7.7,9932
388,Stanley Kubrick: A Life in Pictures,2001.0,Biography Documentary,8.0,9921
389,Hilary and Jackie,1998.0,Biography Drama Music,7.3,9711
390,Mahanati,2018.0,Biography Drama,8.5,9537
391,Wolf Hall,2015.0,Biography Drama History,8.1,9536
392,Champion,2018.0,Biography Drama Romance,8.3,9495
393,Talk to Me,2007.0,Biography Drama History,7.3,9405
394,An Honest Liar,2014.0,Biography Comedy Documentary,7.5,9338
395,The Devil and Daniel Johnston,2005.0,Biography Documentary Music,7.9,9285
396,The Best of Enemies,2019.0,Biography Drama History,7.2,9154
397,Once Upon a Time in China II,1992.0,Action Adventure Biography,7.4,9003
