,titleType,primaryTitle,startYear,genres,averageRating,numVotes
323,movie,Say Anything,1989.0,Comedy Drama Romance,7.3,82313
324,movie,La Vie En Rose,2007.0,Biography Drama Music,7.6,82301
325,movie,"Synecdoche, New York",2008.0,Drama,7.6,82286
326,movie,October Sky,1999.0,Biography Drama Family,7.8,82097
327,movie,Dogtooth,2009.0,Drama Thriller,7.3,81957
330,movie,The Frighteners,1996.0,Comedy Fantasy Horror,7.1,81698
331,movie,Clue,1985.0,Comedy Crime Mystery,7.3,81566
334,movie,American Graffiti,1973.0,Comedy Drama,7.4,81248
335,movie,The Straight Story,1999.0,Biography Drama,8.0,81202
336,movie,Gangs of Wasseypur,2012.0,Action Crime Drama,8.2,81107
337,movie,Short Term 12,2013.0,Drama,8.0,81087
338,movie,The Devil All the Time,2020.0,Crime Drama Thriller,7.1,81036
339,movie,Jane Eyre,2011.0,Drama Romance,7.3,81026
340,movie,Flipped,2010.0,Comedy Drama Romance,7.7,80944
341,movie,Arlington Road,1999.0,Crime Drama Thriller,7.2,80875
342,movie,Frida,2002.0,Biography Drama Romance,7.4,80838
343,movie,Dope,2015.0,Comedy Crime Drama,7.2,80443
345,movie,The Guard,2011.0,Comedy Crime Thriller,7.3,80410
346,movie,Beasts of the Southern Wild,2012.0,Adventure Drama Fantasy,7.3,80375
347,movie,The Great Beauty,2013.0,Drama,7.8,80326
348,movie,A Monster Calls,2016.0,Adventure Drama Family,7.5,80172
349,movie,An Inconvenient Truth,2006.0,Documentary News,7.4,80126
350,movie,Solaris,1972.0,Drama Mystery Sci-Fi,8.1,80099
351,movie,Delicatessen,1991.0,Comedy Crime,7.6,79998
352,movie,Gosford Park,2001.0,Comedy Drama Mystery,7.2,79953
353,movie,Angel Heart,1987.0,Horror Mystery Thriller,7.3,79931
354,movie,The Secret World of Arrietty,2010.0,Adventure Animation Family,7.6,79777
357,movie,Suspiria,1977.0,Horror,7.4,79617
358,movie,The Land Before Time,1988.0,Adventure Animation Drama,7.4,79438
360,movie,The Birdcage,1996.0,Comedy,7.1,79298
361,movie,Elite Squad 2: The Enemy Within,2010.0,Action Crime Drama,8.0,78870
362,movie,The Fisher King,1991.0,Comedy Drama Fantasy,7.5,78858
364,movie,Eye in the Sky,2015.0,Action Drama Thriller,7.3,78691
365,movie,The SpongeBob SquarePants Movie,2004.0,Action Adventure Animation,7.1,78547
366,movie,Wag the Dog,1997.0,Comedy Drama,7.2,78538
367,movie,The Piano,1993.0,Drama Music Romance,7.6,78449
368,movie,The Sandlot,1993.0,Comedy Drama Family,7.8,78386
369,movie,Star Trek IV: The Voyage Home,1986.0,Adventure Comedy Sci-Fi,7.3,78309
372,movie,The Squid and the Whale,2005.0,Comedy Drama,7.3,78040
373,movie,My Father and My Son,2005.0,Drama Family,8.3,77925
374,movie,The Color Purple,1985.0,Drama,7.8,77693
375,movie,The Celebration,1998.0,Drama,8.0,77466
376,movie,The Kings of Summer,2013.0,Adventure Comedy Drama,7.1,77355
377,movie,The Sea Inside,2004.0,Biography Drama,8.0,77126
378,movie,The Kite Runner,2007.0,Drama,7.6,77092
379,movie,"Spring, Summer, Fall, Winter... and Spring",2003.0,Drama Romance,8.0,76907
381,movie,Frailty,2001.0,Crime Drama Thriller,7.2,76676
383,movie,The Hudsucker Proxy,1994.0,Comedy Drama Fantasy,7.2,76539
384,movie,Porco Rosso,1992.0,Adventure Animation Comedy,7.7,76514
386,movie,Detachment,2011.0,Drama,7.7,76409
387,movie,The Longest Ride,2015.0,Drama Romance,7.1,76083
388,movie,The Hundred-Foot Journey,2014.0,Comedy Drama,7.3,76017
389,movie,Trumbo,2015.0,Biography Crime Drama,7.5,75943
390,movie,Tommy Boy,1995.0,Adventure Comedy,7.1,75855
392,movie,Pink Floyd: The Wall,1982.0,Drama Fantasy Music,8.1,75643
394,movie,Barfi!,2012.0,Comedy Drama Romance,8.1,75117
395,movie,Fruitvale Station,2013.0,Biography Crime Drama,7.5,75075
396,movie,Midnight Run,1988.0,Action Comedy Crime,7.5,75039
400,movie,The Outsiders,1983.0,Crime Drama,7.1,74893
402,movie,Swingers,1996.0,Comedy Drama,7.2,74853
404,movie,Felon,2008.0,Action Crime Thriller,7.4,74752
406,movie,Baahubali 2: The Conclusion,2017.0,Action Drama,8.2,74262
407,movie,Notes on a Scandal,2006.0,Crime Drama Romance,7.4,74218
410,movie,Shaolin Soccer,2001.0,Action Comedy Family,7.3,73916
412,movie,Sicko,2007.0,Documentary Drama,7.9,73513
413,movie,A Wednesday,2008.0,Action Crime Drama,8.1,73474
414,movie,Chak De! India,2007.0,Drama Family Sport,8.2,73457
415,movie,Frances Ha,2012.0,Comedy Drama Romance,7.5,73414
416,movie,A Perfect World,1993.0,Crime Drama Thriller,7.6,73401
417,movie,Munna Bhai M.B.B.S.,2003.0,Comedy Drama Musical,8.1,73293
418,movie,Midnight Express,1978.0,Biography Crime Drama,7.6,73175
419,movie,Beasts of No Nation,2015.0,Drama War,7.7,73150
420,movie,Caché,2005.0,Drama Mystery Thriller,7.3,73125
424,movie,Disconnect,2012.0,Drama Thriller,7.5,72786
425,movie,Fearless,2006.0,Action Biography Drama,7.6,72626
426,movie,Kids,1995.0,Drama,7.1,72603
428,movie,The Bridges of Madison County,1995.0,Drama Romance,7.6,72481
429,movie,The Wind Rises,2013.0,Animation Biography Drama,7.8,72422
430,movie,Audition,1999.0,Drama Horror Mystery,7.2,72294
431,movie,Black Book,2006.0,Drama Thriller War,7.7,72287
434,movie,Out of Africa,1985.0,Biography Drama Romance,7.2,72097
435,movie,Four Lions,2010.0,Comedy Crime Drama,7.3,71580
436,movie,Lady Vengeance,2005.0,Crime Drama Thriller,7.6,71405
437,movie,Bajrangi Bhaijaan,2015.0,Action Adventure Comedy,8.0,71378
440,movie,Youth,2015.0,Comedy Drama Music,7.3,71205
444,movie,Shot Caller,2017.0,Crime Drama Thriller,7.3,70982
