,primaryTitle,startYear,genres,averageRating,numVotes
3375,Future Diary,2011.0,Action Animation Drama,7.6,13969
3414,Ghost in the Shell 2.0,2008.0,Action Adventure Animation,8.0,13647
3416,Superman: The Animated Series,1996.0,Action Adventure Animation,8.1,13637
3423,The Angry Beavers,1997.0,Animation Comedy Family,7.2,13569
3426,Children Who Chase Lost Voices,2011.0,Adventure Animation Drama,7.2,13517
3427,To the Forest of Firefly Lights,2011.0,Animation Drama Fantasy,7.9,13489
3429,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003.0,Action Adventure Animation,7.8,13473
3430,Brickleberry,2012.0,Animation Comedy,7.4,13472
3446,TaleSpin,1990.0,Action Adventure Animation,7.6,13342
3462,La Luna,2011.0,Animation Drama Family,8.0,13221
3471,Vampire Hunter D,1985.0,Action Animation Fantasy,7.2,13159
3488,Trollhunters: Tales of Arcadia,2016.0,Action Adventure Animation,8.5,13068
3492,Knick Knack,1989.0,Animation Comedy Family,7.5,13053
3498,Rurouni Kenshin: Trust and Betrayal,1999.0,Action Adventure Animation,8.6,13035
3505,Luxo Jr.,1986.0,Animation Family Short,7.3,12994
3510,The Avengers: Earth's Mightiest Heroes,2010.0,Action Animation Family,8.3,12968
3516,Undone,2019.0,Animation Drama Fantasy,8.2,12902
3529,Ben 10,2005.0,Action Adventure Animation,7.2,12730
3555,Tekkonkinkreet,2006.0,Action Adventure Animation,7.6,12530
3576,The Pinchcliffe Grand Prix,1975.0,Animation Comedy Family,8.5,12389
3598,Ergo Proxy,2006.0,Action Adventure Animation,8.0,12312
3614,Gantz: O,2016.0,Action Animation Drama,7.1,12216
3628,Devilman: Crybaby,2018.0,Action Animation Fantasy,7.6,12113
3634,Claymore,2007.0,Action Adventure Animation,8.0,12094
3635,Arthur,1996.0,Adventure Animation Comedy,7.3,12074
3650,Shaun the Sheep,2007.0,Animation Comedy Family,8.2,11934
3661,Harley Quinn,2019.0,Action Adventure Animation,8.5,11868
3662,Black Lagoon,2006.0,Action Adventure Animation,8.0,11862
3665,Clerks,2000.0,Animation Comedy,7.4,11859
3673,Neon Genesis Evangelion: Death & Rebirth,1997.0,Action Animation Drama,7.5,11824
3680,My Neighbors the Yamadas,1999.0,Animation Comedy Family,7.2,11777
3688,Tiny Toon Adventures,1990.0,Adventure Animation Comedy,7.5,11734
3708,Mushi-Shi,2005.0,Animation Drama Fantasy,8.5,11631
3713,Vinland Saga,2019.0,Action Adventure Animation,8.8,11624
3724,Sailor Moon,1995.0,Action Adventure Animation,7.6,11541
3727,Chowder,2007.0,Adventure Animation Comedy,7.3,11525
3729,Alice,1988.0,Adventure Animation Fantasy,7.5,11519
3742,We Bare Bears,2014.0,Adventure Animation Comedy,7.9,11452
3750,Angel Beats!,2010.0,Action Animation Comedy,7.7,11416
3762,No Game  No Life,2014.0,Adventure Animation Comedy,7.8,11343
3763,Redline,2009.0,Action Animation Sci-Fi,7.5,11337
3770,Yu Yu Hakusho: Ghost Files,1992.0,Action Adventure Animation,8.5,11285
3786,The Marvelous Misadventures of Flapjack,2008.0,Adventure Animation Comedy,7.8,11207
3814,The Last: Naruto the Movie,2014.0,Action Adventure Animation,7.6,11024
3823,The Midnight Gospel,2020.0,Adventure Animation Comedy,8.3,10959
3827,Soul Eater,2008.0,Action Adventure Animation,7.8,10928
3836,Darker Than Black,2007.0,Action Animation Drama,7.8,10885
3842,It's Such a Beautiful Day,2012.0,Animation Comedy Drama,8.3,10839
3845,Serial Experiments Lain,1998.0,Animation Horror Mystery,8.1,10825
3858,Another,2012.0,Animation Drama Horror,7.6,10740
3861,Violet Evergarden,2018.0,Animation Drama Fantasy,8.4,10716
3863,Kill la Kill,2013.0,Action Animation Comedy,7.9,10697
3864,Blue Exorcist,2011.0,Action Animation Drama,7.5,10696
3868,Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,2010.0,Action Animation Drama,7.2,10666
3873,Asterix in Britain,1986.0,Adventure Animation Comedy,7.1,10646
3874,Detective Conan,1996.0,Action Adventure Animation,8.4,10646
3889,Secret of the Wings,2012.0,Animation Family Fantasy,7.1,10573
3897,Harvey Birdman  Attorney at Law,2000.0,Animation Comedy Sci-Fi,8.0,10511
3898,Star vs. the Forces of Evil,2015.0,Action Adventure Animation,8.0,10502
3902,Berserk: The Golden Age Arc I - The Egg of the King,2012.0,Action Adventure Animation,7.6,10474
3905,Tokyo Ghoul: Root A,2015.0,Action Animation Drama,7.7,10464
3906,Noragami,2014.0,Action Adventure Animation,7.9,10463
3908,Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005.0,Action Adventure Animation,7.4,10458
3910,Death Parade,2015.0,Animation Drama Horror,7.9,10455
3930,X-Men: Evolution,2000.0,Action Animation Drama,7.9,10377
3938,Justice League Unlimited,2004.0,Action Adventure Animation,8.7,10357
3942,Aaahh!!! Real Monsters,1994.0,Animation Family Horror,7.2,10325
3948,The House of Small Cubes,2008.0,Animation Drama Family,8.2,10299
3958,Baccano!,2007.0,Action Adventure Animation,8.3,10257
3968,Mickey's Christmas Carol,1983.0,Animation Comedy Family,8.1,10197
3971,Ultimate Spider-Man,2012.0,Action Adventure Animation,7.1,10182
3974,Burn-E,2008.0,Adventure Animation Comedy,7.7,10164
3986,The Spectacular Spider-Man,2008.0,Action Adventure Animation,8.1,10123
4016,Garfield and Friends,1988.0,Animation Comedy Family,7.3,9981
4033,Mortal Kombat Legends: Scorpion's Revenge,2020.0,Action Adventure Animation,7.4,9912
4042,Wolverine and the X-Men,2008.0,Action Adventure Animation,8.0,9869
4043,Aladdin,1994.0,Action Adventure Animation,7.3,9868
4046,The Batman,2004.0,Action Adventure Animation,7.3,9853
4058,Fate/Zero,2011.0,Action Animation Drama,8.3,9805
4060,When the Wind Blows,1986.0,Animation Comedy Drama,7.7,9798
4066,Terkel in Trouble,2004.0,Animation Comedy Musical,7.1,9770
4086,Toradora!,2008.0,Animation Comedy Drama,8.0,9670
