,primaryTitle,startYear,genres,averageRating
462,Hush Hush,1975,Comedy Drama Romance,8.3
463,Loose Cannons,2010,Comedy Drama Romance,7.3
464,Bandish Bandits,2020,Drama Romance,8.6
465,Nicholas Nickleby,2002,Adventure Drama Romance,7.1
466,Moscow Does Not Believe in Tears,1980,Comedy Drama Romance,8.1
467,Forbidden Love,2008,Drama Romance,7.4
468,Sairat,2016,Drama Romance,8.3
469,Bombay,1995,Drama Musical Romance,8.1
470,Degrassi: The Next Generation,2001,Drama Romance,7.3
471,Life in a Metro,2007,Comedy Drama Romance,7.4
472,My King,2015,Drama Romance,7.1
473,Soldier of Orange,1977,Drama Romance Thriller,7.7
474,"Ironiya sudby, ili S legkim parom!",1975,Comedy Romance,8.1
475,The Night Shift,2014,Drama Romance,7.4
476,Last Life in the Universe,2003,Comedy Drama Romance,7.5
477,The Bow,2005,Drama Romance,7.1
478,Facing Windows,2003,Drama Romance,7.3
479,Holding the Man,2015,Biography Drama Romance,7.4
480,Sense & Sensibility,2008,Drama Romance,8.0
481,Battle for Sevastopol,2015,Biography Drama Romance,7.1
482,Crash Landing on You,2019,Comedy Romance,8.7
483,Palm Trees in the Snow,2015,Drama Romance,7.4
484,The Miracle,2015,Comedy Drama Romance,7.6
485,Bella,2006,Drama Romance,7.2
486,The Wings of the Dove,1997,Drama Romance,7.1
487,From Doom Till Doom,1988,Drama Musical Romance,7.5
488,The Catch,2016,Crime Drama Romance,7.2
489,Barefoot,2005,Comedy Drama Romance,7.2
490,Saving Face,2004,Comedy Drama Romance,7.4
491,Lost in Austen,2008,Drama Fantasy Romance,7.4
492,The Wanderers,1979,Crime Drama Romance,7.4
493,Geetha Govindam,2018,Drama Romance,7.7
494,Cholera Street,1997,Crime Drama Romance,7.7
495,Dallas,2012,Drama Romance,7.1
496,Johnny Stecchino,1991,Comedy Crime Romance,7.2
497,Samantha Who?,2007,Comedy Mystery Romance,7.3
498,Turkish Delight,1973,Drama Romance,7.1
499,Gadar: Ek Prem Katha,2001,Action Drama Romance,7.2
500,Ishqiya,2010,Comedy Drama Romance,7.3
501,Fireworks Wednesday,2006,Drama Mystery Romance,7.7
502,Vaaranam Aayiram,2008,Drama Musical Romance,8.1
503,When Calls the Heart,2014,Drama Romance,8.2
504,Metropolitan,1990,Comedy Drama Romance,7.4
505,Open Hearts,2002,Drama Romance,7.5
506,Eye of the Needle,1981,Romance Thriller War,7.1
507,"North & South: Book 1, North & South",1985,Drama History Romance,8.1
508,Sanam Teri Kasam,2016,Drama Musical Romance,7.3
